run_id,feature_set,model,n_features,auc_roc,pr_auc,sensitivity,specificity,accuracy,test_pos,test_neg,fold,train_rows,test_rows,train_pos,train_neg,train_subjects,test_subjects,train_single_class,best_params,best_inner_score
doe_v1_all_models,bp_plus_rms_kurt,gradient_boosting,14,0.9048966458743948,0.20098575709402441,0.0,0.999769982748706,0.9849308860185813,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms_kurt,gradient_boosting,14,0.7063117573483427,0.04920648494801834,0.024390243902438727,0.9965384615384614,0.9864247652879978,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms_kurt,gradient_boosting,14,0.7111845853951118,0.04327568953812496,0.01709401709401695,0.9877192982456139,0.9681966649475673,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_plus_rms_kurt,gradient_boosting,14,0.5611909581646424,0.010693501721991443,0.0,0.9926315789473683,0.9836578581363002,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms_kurt,gradient_boosting,14,0.8934012345679013,0.3063908695034335,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,logreg,16,,,,0.14495726495726494,0.14495726495726494,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,logreg,16,0.7841830428871585,0.02357695074094644,0.93103448275861,0.5110752688172042,0.5149675082560987,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,logreg,16,0.6495265770887015,0.02025700884833477,0.20610687022900606,0.8270270270270269,0.8178110129163833,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,logreg,16,0.3599984365228268,0.008277538779180367,0.3048780487804841,0.5667948717948718,0.5640700329865516,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,logreg,16,0.8804370970160443,0.18015779244290514,0.9572649572649491,0.5438596491228069,0.5521746604779095,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
